timestamp,replicas,code200,code429,code5xx
2026-01-18 17:43:22,5,0,0,0
2026-01-18 17:43:27,5,1419,132037,0
2026-01-18 17:43:33,5,2491,289973,0
2026-01-18 17:43:38,5,3627,479495,0
2026-01-18 17:43:44,5,4884,661699,0
2026-01-18 17:43:51,5,6127,847527,0
2026-01-18 17:43:57,5,7477,1049506,0
2026-01-18 17:44:04,5,9012,1266288,0
2026-01-18 17:44:12,5,10572,1482837,0
2026-01-18 17:44:21,5,12393,1700116,0
